nfilter,t1,t2,t3,t4,t5
1351,75.746,0,0,68.282,4.278
397,21.422,0,0,20.9,0.672
45,1.783,0,0,2.374,0.071
16,0.381,0,0,0.631,0.752
340,12.714,0,0,16.122,15.31
2300,115.022,0,0,111.014,23.575
1545,83.641,0,0,74.684,7.635
698,38.224,0,0,35.579,1.282
88,3.997,0,0,4.79,0.11
9,0.261,0,0,0.531,0.471
94,3.768,0,0,4.669,3.767
766,47.421,0,0,37.101,25.089
420,35.769,0,0,20.399,3.797
107,8.947,0,0,5.52,0.951
26,2.474,0,0,1.373,0.13
4,0.281,0,0,0.27,0.03
17,0.4,0,0,0.982,0.811
266,10.791,0,0,14.087,13.737
1489,87.028,0,0,75.155,18.516
522,39.827,0,0,26.41,1.923
82,5.26,0,0,4.548,0.1
28,0.651,0,0,1.483,1.153
636,24.959,0,0,32.633,24.107
2696,130.04,0,0,128.838,30.759
2054,110.793,0,0,99.762,14.118
1213,68.392,0,0,68.251,3.807
319,18.065,0,0,16.582,0.852
86,3.707,0,0,5,0.12
28,0.711,0,0,1.533,1.253
561,23.044,0,0,30.188,24.637
2474,122.266,0,0,124.079,19.328
1559,83.931,0,0,79.804,4.669
423,22.754,0,0,22.504,0.861
49,2.044,0,0,3.006,0.07
24,0.501,0,0,1.373,1.092
484,19.347,0,0,26.912,23.755
2593,128.768,0,0,132.325,23.906
1423,78.963,0,0,73.983,6.983
639,34.767,0,0,34.316,1.253
74,3.788,0,0,3.998,0.18
0,0.27,0,0,0.03,0.02
8,0.221,0,0,0.441,0.431
112,7.194,0,0,5.871,4.519
1203,100.765,0,0,58.252,28.445
810,73.051,0,0,39.466,15.179
339,40.599,0,0,16.542,3.637
86,8.647,0,0,4.378,0.111
31,0.752,0,0,1.663,1.373
675,28.294,0,0,34.235,22.693
2369,119.4,0,0,116.365,19.097
1553,83.721,0,0,79.473,6.563
675,34.497,0,0,36.881,1.042
53,2.184,0,0,3.246,0.351
22,1.292,0,0,1.243,0.05
25,0.551,0,0,1.383,1.062
408,17.223,0,0,21.662,17.945
1664,93.61,0,0,83.411,14.898
816,49.465,0,0,42.702,3.136
192,11.772,0,0,10.57,0.952
24,1.463,0,0,1.383,0.05
21,0.511,0,0,1.143,1.022
343,14.217,0,0,17.815,13.907
1398,83.461,0,0,70.396,19.167
426,36.26,0,0,22.093,3.046
65,6.242,0,0,3.497,0.09
28,0.892,0,0,1.483,1.303
604,23.987,0,0,31.882,23.605
2458,119.852,0,0,119.14,28.605
1557,91.086,0,0,76.919,11.973
648,44.205,0,0,32.483,1.714
69,4.158,0,0,3.717,0.201
1,0.27,0,0,0.14,0.03
30,0.641,0,0,1.573,1.272
532,22.363,0,0,28.245,21.341
1721,95.855,0,0,85.054,16.632
623,52.842,0,0,31.872,2.745
126,8.707,0,0,6.943,0.27
4,0.33,0,0,0.311,0.03
32,0.632,0,0,1.923,1.362
547,23.025,0,0,27.293,18.967
1666,89.744,0,0,79.964,15.42
941,54.004,0,0,46.58,4.799
385,21.501,0,0,20.309,0.802
51,2.314,0,0,2.965,0.08
24,0.601,0,0,1.262,1.092
379,15.881,0,0,19.468,18.365
1332,80.395,0,0,67.23,14.218
740,46.86,0,0,37.943,3.106
206,12.484,0,0,11.632,0.431
18,0.842,0,0,1.062,0.04
30,0.882,0,0,1.483,1.393
484,21.953,0,0,24.207,22.123
1393,82.419,0,0,67.179,16.922
877,54.375,0,0,44.606,4.779
313,18.917,0,0,15.74,1.143
98,4.939,0,0,5.159,0.24
9,0.521,0,0,0.642,0.04
16,0.381,0,0,1.233,0.751
299,11.903,0,0,15.299,15.69
1915,104.662,0,0,94.883,25.549
984,65.146,0,0,50.698,4.99
307,19.608,0,0,16.091,0.892
46,2.455,0,0,2.475,0.2
4,0.351,0,0,0.281,0.03
22,0.651,0,0,1.483,0.972
502,19.277,0,0,27.373,22.283
2640,129.99,0,0,132.585,20.711
1614,87.268,0,0,82.93,6.753
706,38.083,0,0,38.284,1.694
178,8.166,0,0,9.919,0.291
11,0.531,0,0,0.591,0.04
10,0.321,0,0,0.621,0.511
145,5.681,0,0,7.224,6.201
1420,81.518,0,0,69.674,20.489
521,40.859,0,0,25.619,2.415
48,5.03,0,0,2.856,0.08
25,0.55,0,0,1.402,1.173
446,19.517,0,0,22.714,20.749
1479,86.937,0,0,72.329,11.512
532,34.005,0,0,27.192,0.992
46,2.525,0,0,2.465,0.07
24,0.591,0,0,1.452,1.113
522,20.8,0,0,28.625,18.516
2666,129.69,0,0,135.952,25.028
2128,109.642,0,0,108.66,13.947
1265,66.257,0,0,67.38,4.849
534,26.291,0,0,28.885,1.293
94,4.048,0,0,5.44,0.28
22,0.962,0,0,1.243,0.16
17,0.491,0,0,1.102,0.15
32,0.671,0,0,1.873,1.353
661,27.463,0,0,34.096,26.07
2117,116.124,0,0,105.413,19.097
1239,70.717,0,0,63.402,4.93
478,25.63,0,0,26.621,1.052
31,2.023,0,0,1.624,0.07
21,0.631,0,0,1.322,0.921
462,18.155,0,0,22.844,18.395
2309,116.395,0,0,110.484,20.74
1705,94.472,0,0,84.213,10.169
954,52.29,0,0,48.303,2.866
286,13.146,0,0,15.79,0.531
31,1.503,0,0,1.612,0.06
17,0.641,0,0,0.902,0.832
352,14.247,0,0,19.498,15.069
2358,120.512,0,0,118.388,24.858
1716,93.37,0,0,87.949,11.934
910,51.719,0,0,48.002,4.289
245,14.257,0,0,13.355,0.43
20,0.931,0,0,1.293,0.05
27,0.602,0,0,1.804,1.263
548,22.444,0,0,28.736,21.601
2259,117.066,0,0,111.435,23.225
1205,72.48,0,0,60.236,6.633
396,24.718,0,0,20.9,0.651
28,1.513,0,0,1.793,0.06
29,0.591,0,0,1.883,1.212
488,21.311,0,0,26.712,23.505
2453,123.619,0,0,123.118,29.377
1795,99.833,0,0,91.096,8.697
708,40.899,0,0,37.473,1.372
75,3.598,0,0,4.068,0.37
