nfilter,t1,t2,t3,t4,t5,label_mad
256,15.419,11.452,1.764,0.741,0.722,11133
46,2.364,2.244,0.431,0.231,0.07,7910.5
22,0.651,1.082,0.251,0.15,1.072,7607.5
485,18.817,23.897,3.597,2.094,16.632,14757
2362,122.898,115.814,21.792,7.064,23.726,11314
1588,91.677,77.249,14.819,4.799,7.054,14250
633,34.387,32.072,4.98,2.485,0.692,20994
8,0.461,0.471,0.161,0.13,0.04,902.5
17,0.491,0.912,0.231,0.131,0.872,5783
282,11.682,14.498,1.963,0.921,16.502,15782.5
1847,102.499,92.95,17.283,5.45,22.263,20983
1645,92.048,77.991,15.541,4.62,11.703,27665
1152,62.731,54.375,10.73,3.556,2.895,18792.5
234,11.623,11.512,1.684,0.771,0.511,17107
20,1.022,1.233,0.221,0.17,0.04,55298.5
32,0.631,1.373,0.301,0.23,1.523,2993.5
422,19.318,18.376,2.986,1.092,19.417,9208.5
916,63.583,37.232,8.025,1.744,11.933,6293.5
218,21.642,9.118,1.563,0.782,1.062,13589.5
36,2.475,1.442,0.32,0.21,0.141,10406
10,0.391,0.481,0.18,0.12,0.04,6182.5
18,0.481,0.901,0.241,0.14,0.892,13180.5
295,11.833,14.077,2.054,1.102,13.967,20817
1421,84.133,60.718,13.416,5.09,17.173,15233
480,35.118,20.66,3.446,1.614,1.743,12110
83,4.83,3.457,0.742,0.35,0.12,13334
26,0.621,1.373,0.271,0.13,1.082,6112.5
590,22.834,24.858,4.559,1.703,24.938,12226.5
2654,126.515,108.6,24.317,5.681,31.01,14072
1971,111.706,80.827,18.265,4.128,14.198,8146
1321,72.109,54.866,12.193,3.136,4.278,12279
384,20.42,16.362,2.645,0.701,1.062,13976
74,3.917,3.387,0.631,0.11,0.321,4927
22,0.932,1.372,0.251,0.14,0.05,19464
25,0.551,1.142,0.28,0.171,1.232,37993
497,19.829,22.473,3.607,2.184,22.835,42551
2544,127.116,107.458,23.466,8.857,21.461,27667
1618,85.145,68.933,15.3,5.571,4.779,20281.5
437,22.454,18.867,3.086,1.753,0.752,17787
52,1.994,2.765,0.491,0.281,0.09,12003.5
29,0.601,1.613,0.29,0.171,1.362,17704
582,22.954,26.972,4.509,2.204,26.522,55169.5
2487,122.627,110.013,22.985,9.147,21.262,51083
1368,77.139,60.948,12.955,5.571,5.931,50680.5
550,29.017,25.158,4.128,2.194,1.142,38258.5
60,3.287,2.676,0.531,0.29,0.091,28649.5
20,0.471,0.922,0.24,0.14,1.072,2112.5
