nfilter,t1,t2,t3,t4,t5,label_mad
91,4.037,4.639,0.771,0.341,0.11
21,0.831,1.002,0.251,0.321,1.073
418,16.592,19.568,2.986,1.654,18.676
1373,65.817,64.995,12.805,5.511,21.201
1122,58.743,64.575,13.236,4.078,11.111
872,50.888,42.371,7.525,3.236,4.549
303,18.676,15.069,2.194,1.332,0.921
37,2.585,1.773,0.341,0.26,0.061
31,0.681,1.402,0.31,0.191,1.492
711,27.983,34.677,6.011,2.846,22.373
1567,73.101,70.646,14.738,5.19,18.997
1425,69.614,65.025,13.325,4.499,9.248
1014,52.922,45.948,9.108,2.986,2.294
196,9.188,9.538,1.402,0.712,0.441
23,1.222,1.052,0.281,0.12,0.08
25,0.642,1.162,0.281,0.21,1.172
583,23.015,28.796,4.759,2.655,21.792
1690,76.948,79.793,15.961,7.213,23.616
1300,66.218,62.38,12.054,5.039,10.631
1142,58.543,54.926,10.41,4.008,3.036
351,17.093,17.334,2.695,1.683,0.501
18,0.722,0.902,0.24,0.18,0.05
25,0.541,1.173,0.281,0.15,1.112
602,23.245,28.465,4.849,2.114,25.99
1903,83.341,89.863,17.705,6.372,33.935
1743,78.541,80.646,16.261,6.022,15.259
1433,69.785,65.887,13.346,4.829,6.783
767,36.962,37.212,6.523,2.634,1.763
186,8.437,9.388,1.353,0.731,0.261
9,0.41,0.53,0.201,0.13,0.04
22,0.511,1.053,0.25,0.15,1.033
393,15.579,17.754,2.916,1.402,17.273
1134,60.176,51.069,10.37,3.266,14.238
1009,56.539,45.928,8.987,3.366,3.807
351,18.496,16.201,2.545,1.644,0.582
39,1.412,1.853,0.371,0.241,0.07
26,0.511,1.163,0.29,0.221,1.152
525,20.54,25.289,4.158,1.934,18.296
1385,66.418,64.605,12.865,4.709,17.434
1181,64.023,54.666,10.74,4.318,6.633
662,36.179,31.371,5.52,2.164,0.932
41,2.155,2.364,0.391,0.261,0.06
20,0.491,1.172,0.22,0.15,0.972
324,13.637,15.309,2.265,1.553,17.163
1334,64.815,58.603,12.334,3.787,23.284
969,55.267,42.943,8.407,2.905,9.027
675,39.375,28.996,5.571,1.964,1.803
96,5.801,4.178,0.741,0.331,0.25
24,0.942,1.102,0.241,0.13,0.05
18,0.471,0.872,0.24,0.12,0.881
387,13.987,18.175,2.845,1.263,19.497
1718,75.015,78.221,16.031,6.032,37.502
1499,77.259,68.582,13.996,5.181,23.476
1337,66.889,62.691,12.344,4.739,15.119
1079,62.229,50.567,9.799,4.108,5.952
560,29.597,26.191,4.358,2.345,0.992
77,3.417,3.978,0.631,0.331,0.11
30,0.571,1.363,0.321,0.161,1.352
454,19.919,20.56,3.366,2.133,17.734
990,51.299,42.833,8.666,2.484,19.708
738,43.003,31.4,6.222,2.004,5.571
404,23.245,17.573,2.926,1.212,0.891
85,3.707,3.957,0.711,0.35,0.19
16,0.581,0.722,0.18,0.11,0.051
31,0.721,1.473,0.321,0.14,1.373
634,26.301,28.234,5.291,1.623,23.645
1450,68.532,63.232,13.576,3.888,20.549
1193,61.137,53.072,10.971,3.767,8.726
923,48.022,41.47,8.126,2.916,2.515
220,10.811,9.819,1.593,1.092,0.23
32,0.761,1.453,0.291,0.15,1.393
723,28.775,33.234,6.092,2.736,19.968
1654,76.027,73.571,15.49,5.621,20.479
1307,64.975,57.501,12.143,3.957,7.234
946,46.24,42.371,8.376,2.995,3.317
382,18.325,17.343,2.735,1.192,1.042
108,4.689,5.1,0.852,0.431,0.23
25,0.762,1.463,0.27,0.141,0.16
15,0.461,0.802,0.2,0.13,0.04
16,0.271,0.791,0.201,0.17,0.742
268,13.777,12.825,1.904,1.192,11.122
1218,84.262,59.615,11.061,5.03,18.606
1058,83.661,47.883,9.468,4.058,5.721
535,39.857,24.397,4.229,2.315,1.262
83,4.018,4.057,0.691,0.351,0.1
20,0.541,0.831,0.221,0.22,0.892
374,15.249,17.053,2.725,1.683,15.12
1218,64.324,55.217,11.121,4.649,16.081
1039,55.757,46.379,9.368,3.727,5.52
472,24.467,22.253,3.557,1.573,0.882
61,2.495,3.186,0.551,0.271,0.18
22,0.601,1.042,0.25,0.141,0.05
29,0.561,1.583,0.301,0.2,1.333
643,25.579,29.847,5.29,2.775,17.434
1551,73.693,68.151,14.599,5.451,24.677
1047,59.675,46.39,9.428,3.376,12.003
813,51.018,35.178,6.954,2.555,3.466
273,16.532,12.193,1.964,1.222,0.41
16,0.642,0.832,0.19,0.16,0.05
30,0.781,1.393,0.3,0.24,1.252
725,28.174,34.126,6.102,2.946,22.403
1751,81.206,79.052,16.332,6.773,25.539
1577,74.083,71.779,14.788,5.64,21.221
1313,65.236,61.238,12.174,5.04,7.073
848,42.041,39.476,7.284,3.276,2.013
194,9.197,8.887,1.423,0.801,0.611
71,3.377,3.387,0.611,0.331,0.18
23,0.862,1.062,0.261,0.15,0.15
19,0.51,0.902,0.241,0.15,0.05
21,0.481,1.253,0.27,0.141,0.982
426,16.441,20.479,3.206,1.653,19.928
1362,66.308,61.789,12.685,4.909,20.59
1102,59.825,50.387,10.45,4.008,5.751
544,29.648,24.687,4.188,1.863,1.423
135,6.132,6.944,1.082,0.551,0.231
4,0.361,0.351,0.13,0.121,0.04
25,0.612,1.182,0.251,0.131,1.122
548,21.772,24.337,4.289,1.463,20.46
1202,60.196,50.418,10.981,2.655,19.247
822,48.844,34.697,7.073,1.874,5.28
473,26.03,21.481,3.547,1.543,0.772
48,2.074,2.054,0.411,0.15,0.07
16,0.25,0.962,0.191,0.14,0.782
337,12.844,14.738,2.455,1.263,16.292
1454,69.955,63.793,13.697,4.979,23.676
1137,61.108,51.189,10.39,4.168,6.242
501,26.902,23.095,3.797,1.984,0.912
47,2.265,2.404,0.441,0.241,0.18
10,0.391,0.411,0.17,0.051,0.16
9,0.421,0.431,0.16,0.13,0.031
25,0.561,1.122,0.271,0.15,1.152
540,21.612,23.796,4.178,1.844,24.868
1307,63.011,56.579,12.173,4.208,18.546
973,53.493,41.56,8.546,3.196,4.388
327,19.097,14.789,2.324,0.962,1.002
62,3.467,3.016,0.551,0.321,0.17
14,0.531,0.722,0.18,0.13,0.04
22,0.612,0.971,0.26,0.14,1.042
484,18.135,21.962,3.727,1.603,16.863
1419,69.554,62.28,13.305,4.238,21.281
1177,62.059,52.251,10.701,3.216,6.874
776,39.586,34.165,6.593,2.054,1.654
105,5.3,5.3,0.842,0.391,0.13
17,0.451,0.671,0.241,0.13,0.661
280,11.282,12.464,1.993,1.113,16.102
1195,58.993,50.427,10.951,2.956,20.169
1184,61.869,49.836,10.931,3.076,11.352
1154,59.875,49.275,10.56,2.895,3.075
301,14.187,12.484,2.104,1.173,0.611
36,1.724,1.583,0.31,0.21,0.05
32,0.621,1.413,0.291,0.141,1.433
417,18.866,18.265,3.105,1.472,18.866
530,37.282,22.143,4.108,1.052,11.412
261,24.027,11.291,1.833,0.481,1.092
41,2.425,1.954,0.451,0.311,0.11
11,0.401,0.581,0.191,0.131,0.04
18,0.451,0.842,0.26,0.22,0.882
294,11.282,14.508,2.074,1.102,13.997
795,46.459,35.929,6.833,3.036,15.44
537,36.571,24.006,4.138,1.994,2.275
110,6.272,5.09,0.882,0.541,0.14
25,0.642,1.422,0.261,0.06,1.002
559,22.143,24.076,4.579,1.443,23.566
1608,71.237,67.069,14.968,3.708,28.876
1230,62.331,50.587,11.342,2.505,13.877
1136,65.316,48.384,10.38,2.475,5.12
512,26.751,22.002,3.918,1.042,1.513
127,6.673,5.731,0.982,0.311,0.34
27,1.051,1.193,0.291,0.121,0.07
25,0.601,1.232,0.271,0.181,1.132
494,19.748,23.825,3.838,2.204,22.704
1554,71.768,69.143,14.518,5.651,19.157
1255,65.035,55.637,11.622,4.698,5.37
559,26.541,25.49,4.468,1.953,1.243
93,3.967,4.919,0.762,0.36,0.111
29,0.541,1.693,0.28,0.181,1.392
579,23.666,27.553,4.649,2.585,25.82
1494,70.476,67.16,14.077,5.41,19.637
1147,61.077,52.24,10.43,4.609,5.902
605,32.402,27.954,4.889,2.235,1.422
117,5.54,5.801,0.901,0.571,0.14
20,0.461,1.042,0.221,0.14,0.902
242,13.807,10.7,1.723,0.862,11.522
581,51.349,24.658,4.559,2.114,13.576
375,46.72,16.572,2.716,1.372,4.199
194,21.491,8.988,1.393,0.702,1.663
89,7.094,4.509,0.771,0.361,0.671
40,2.215,1.974,0.35,0.281,0.07
28,0.561,0.652,0.25,0.06,1.273
601,23.555,25.088,4.939,1.432,21.16
1421,67.951,59.154,13.295,3.878,16.782
1199,61.639,53.292,11.052,3.166,6.112
806,38.915,36.5,7.063,2.325,2.465
250,11.903,11.392,1.803,0.882,0.732
93,3.787,4.459,0.781,0.431,0.321
17,0.782,0.801,0.251,0.13,0.05
20,0.43,0.932,0.221,0.13,0.992
389,14.608,18.646,2.796,1.302,17.644
1126,57.15,49.806,10.31,3.256,19.378
822,49.265,35.639,7.084,2.073,3.907
305,17.915,14.118,2.204,0.932,0.511
22,1.212,1.142,0.27,0.171,0.051
16,0.371,1.102,0.211,0.14,0.692
211,8.877,9.488,1.503,0.782,11.071
597,37.573,25.78,4.829,2.395,16.762
494,34.938,23.255,3.767,1.663,3.617
186,12.944,8.997,1.383,0.671,0.321
3,0.361,0.23,0.171,0.04,0.03
31,0.871,1.482,0.321,0.15,1.343
684,27.082,30.979,5.661,2.244,23.405
1490,67.971,64.364,14.067,4.027,26.622
1016,55.737,43.234,9.127,2.645,11.021
837,49.395,35.818,7.304,2.034,2.344
119,7.565,5.421,0.931,0.361,0.141
23,0.611,1.212,0.301,0.13,0.982
454,18.045,21.041,3.367,1.623,19.708
1037,56.659,45.307,9.309,2.806,15.229
613,41.771,26.722,4.98,1.643,2.625
141,10.109,6.312,1.403,0.391,0.601
29,1.553,1.313,0.29,0.121,0.151
13,0.451,0.641,0.221,0.12,0.04
28,0.511,1.303,0.27,0.14,1.122
516,20.85,22.032,3.977,1.613,17.784
1170,60.417,50.036,10.67,2.735,13.005
960,53.833,40.618,8.396,2.174,5.982
507,28.795,22.583,3.928,1.353,1.172
112,5.731,5.601,0.872,0.381,0.26
5,0.361,0.281,0.14,0.04,0.03
8,0.26,0.762,0.13,0.12,0.491
142,4.96,6.533,1.052,0.401,5.761
1270,60.276,61.208,11.713,3.727,26.812
876,50.667,36.13,7.624,2.124,10.551
500,34.006,20.91,3.788,1.503,1.643
71,4.249,3.597,0.661,0.25,0.09
25,0.561,1.143,0.472,0.141,1.202
437,19.578,19.728,3.136,1.612,19.938
1045,57.811,43.313,9.459,2.474,14.027
828,49.184,33.995,7.154,1.694,3.347
176,10.731,7.625,1.272,0.42,0.411
13,0.712,0.551,0.2,0.11,0.04
25,0.541,1.233,0.25,0.061,1.163
438,18.375,20.349,3.186,1.162,23.265
1200,62.651,52.822,10.811,3.797,23.145
757,46.49,33.555,6.392,2.335,7.424
542,32.984,23.556,4.208,1.482,2.023
164,8.636,7.504,1.192,0.831,0.301
10,0.431,0.491,0.2,0.241,0.03
21,0.531,0.912,0.281,0.121,0.931
394,16.191,18.756,2.896,0.972,15.149
1512,69.203,66.498,14.168,4.64,23.274
1279,64.605,57.221,11.832,3.416,10.841
1192,62.34,53.883,10.88,4.178,5.46
583,27.634,26.1,4.66,1.804,1.443
129,5.42,6.011,0.992,0.481,0.281
6,0.431,0.341,0.16,0.12,0.03
28,0.872,1.302,0.27,0.05,1.193
324,15.57,13.446,2.345,0.642,14.919
649,41.089,27.273,5.34,1.042,8.387
404,27.883,16.852,2.906,0.792,1.083
52,3.296,2.414,0.451,0.221,0.071
27,0.551,1.342,0.301,0.22,1.133
490,20.94,20.57,3.727,1.804,21.351
927,52.441,40.768,8.116,2.815,10.01
611,37.823,25.76,4.98,2.265,1.723
117,5.722,5.39,0.932,0.451,0.14
26,0.521,1.273,0.271,0.15,1.152
547,22.102,25.599,4.338,1.784,19.297
1570,72.73,70.997,14.738,5.07,23.946
1451,68.422,65.716,13.626,4.568,12.775
1321,64.585,59.925,12.674,4.619,5.801
680,33.625,31.07,5.661,2.184,1.914
205,9.338,9.989,1.463,0.711,0.622
79,2.965,3.867,0.671,0.43,0.1
24,0.771,0.991,0.241,0.32,1.042
397,16.542,16.321,2.936,1.052,17.985
1324,63.181,55.707,12.424,3.567,18.907
1105,56.719,46.569,10.01,3.547,5.731
563,29.517,25.419,4.398,1.663,1.543
129,5.811,6.422,0.981,0.471,0.391
34,1.413,1.603,0.401,0.14,0.06
20,0.792,0.851,0.25,0.401,0.932
408,15.88,18.034,3.337,1.262,18.916
1419,68.312,59.304,17.404,3.216,23.436
1293,64.755,55.236,12.164,2.925,10.91
1002,53.553,42.221,9.388,2.846,3.968
383,18.736,17.134,3.146,1.062,0.37
17,0.45,0.792,0.241,0.171,0.932
292,11.412,13.887,2.385,1.133,14.658
1261,74.965,57.581,11.833,4.729,19.898
1082,58.483,49.385,10.159,3.987,6.082
606,31.511,28.094,5.31,2.414,1.653
152,7.585,7.675,1.262,0.591,0.311
26,1.182,1.343,0.281,0.15,0.05
25,0.592,1.313,0.291,0.14,1.112
507,21.372,22.814,4.268,1.603,22.283
1415,69.364,59.836,13.706,3.527,22.423
988,55.938,42.261,9.128,2.976,7.013
474,29.177,21.261,3.877,1.513,0.621
22,1.263,1.072,0.261,0.461,0.19
18,0.712,1.022,0.24,0.13,0.04
30,0.621,1.553,0.331,0.22,1.243
535,23.535,24.777,4.489,1.904,23.886
