nfilter,t1,t2,t3,t4,t5,label_mad
842,50.046,0,0,45.478,2.825,13441
256,13.056,0,0,14.348,0.531,17465
30,1.343,0,0,2.004,0.07,28954
13,0.26,0,0,0.782,0.682,16261
263,9.639,0,0,15.109,12.925,34071
2550,126.856,0,0,134.35,28.486,37067
1803,99.332,0,0,96.727,9.288,38711
647,39.768,0,0,35.799,1.733,49182
125,7.133,0,0,7.254,0.131,86758
29,0.651,0,0,1.633,1.342,20688
587,24.608,0,0,31.581,26.692,22097
1961,105.854,0,0,98.11,17.784,17620
924,57.542,0,0,48.784,3.547,13889
260,14.969,0,0,14.388,0.872,10726.5
56,3.036,0,0,3.126,0.07,9818.5
25,0.581,0,0,1.363,1.132,1846
603,24.778,0,0,32.904,25.089,7612
2450,127.326,0,0,128.098,21.111,9595
1351,77.22,0,0,71.739,4.368,16416
397,21.061,0,0,22.023,0.671,21188
45,1.713,0,0,2.545,0.07,25574
16,0.371,0,0,0.621,0.732,12375
340,12.784,0,0,16.913,15.109,41195
2300,115.433,0,0,116.886,23.125,39873
1545,86.617,0,0,80.616,7.565,27933
698,39.206,0,0,36.981,1.312,18618
88,4.379,0,0,5.24,0.11,7866.5
9,0.21,0,0,0.571,0.491,182
94,3.927,0,0,4.809,3.617,883.5
766,47.582,0,0,38.564,24.758,2549
420,35.73,0,0,22.444,3.837,9315.5
107,9.088,0,0,5.691,0.892,5539
26,2.475,0,0,1.563,0.11,5281
4,0.27,0,0,0.271,0.03,9732.5
17,0.461,0,0,1.052,0.842,11725
266,10.64,0,0,14.598,13.406,20701
1489,87.579,0,0,77.901,18.866,15418
522,40.188,0,0,27.985,1.863,11251.5
82,5.621,0,0,5.12,0.09,12811.5
28,0.762,0,0,1.433,1.152,7060
636,26.24,0,0,34.307,23.596,12487
2696,133.028,0,0,140.172,30.278,9749.5
2054,110.594,0,0,107.197,13.235,9100
1213,69.564,0,0,62.441,3.597,8660
319,18.766,0,0,17.524,0.801,9274
86,4.128,0,0,4.97,0.1,21472.5
28,0.661,0,0,1.543,1.222,33221.5
561,23.165,0,0,30.979,24.578,38712
2474,123.289,0,0,129.921,19.066,24318
1559,84.713,0,0,81.608,4.529,22539
423,22.023,0,0,22.694,0.832,19604
49,2.124,0,0,2.695,0.06,8657
24,0.521,0,0,1.403,1.152,20467
484,19.478,0,0,27.293,23.836,53381
2593,130.943,0,0,136.985,23.135,53919
1423,79.684,0,0,76.388,6.924,50044
639,35.078,0,0,34.637,1.312,41672
74,3.837,0,0,4.539,0.201,41067.5
0,0.22,0,0,0.031,0.031,0
8,0.22,0,0,0.431,0.501,2652
112,8.586,0,0,5.761,4.318,1625.5
1203,108.831,0,0,68.042,27.654,3168
810,86.427,0,0,42.763,14.738,5463
339,52.071,0,0,17.885,3.587,8252
86,8.817,0,0,4.96,0.12,7276
31,0.801,0,0,1.964,1.443,5445
675,28.025,0,0,35.94,22.574,14918
2369,120.694,0,0,125.493,18.316,21784
1553,82.76,0,0,83.772,6.362,43985
675,34.787,0,0,37.733,0.901,46025
